Address (Includes City),ZIP,Asking Price,Sale Price,Sale Date,Area (Sq Ft),Lot (Sq Ft),Beds,Baths,Year Built,Energy Features,Description,Classification,Solar Heating,Passive Solar,PV Power,Green Modified
4046 Tall Grass Dr Napa," 94558	","$799,000 ","$749,000 ", 05/19/09,2861,8065,3,4,NA," Caulked/Sealed, Ceiling Insulation, Low-Flow Toilet(s), Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Elegant French Country architecture highlights this amazing new 3 bedroom plus loft two story home located in a planned community - on a corner lot overlooking wooded creekside and walking trail in Beautiful BROWN'S VALLEY built by O'Brien Homes. Some of the features and amenities include, granite slab kitchen countertops, Bosch SS appliances, hand-set 12x12 ceramic floor tile, hardwood floor and more", GreenModified ,0,0,0,1
1407 Camden Ave Lakeport," 95453	","$419,500 ","$378,950 ", 12/19/08,2086,6000,3,2,2008," Caulked/Sealed, Ceiling Insulation, Low-Flow Shower(s), Passive Solar, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," A life at the lake ... The Bartlett at Parkside - a cheerfully open plan bathed in natural light from its many windows. The home features a formal living room strategically separated from an expansive great room with its own covered patio. The kitchen has acres of room and hand crafted wood cabinets for the most avid of chefs. Occupy now. Includes over $20,000 in upgrades. Buyer incentive avaliable", Passive Solar ,0,1,0,0
400 Woodridge Rd Geyserville," 95441	","$1,050,000 ","$950,000 ", 04/21/10,2475,34412,3,2,1985," Caulked/Sealed, Ceiling Insulation, Low-Flow Shower(s), Passive Solar, Skylight(s), Wall Insulation, Water Heater Blanket, Window(s) Dual Pane"," Inspired by the environment, the provincial charm & architecture of this wine country home defines country living. Nestled in the hills of Alexander Valley in the popular community known as The Vineyard. Delightful setting, gardens, expansive decks, vaulted ceilings, open floor plan, updated kitchen, 3BR/2BA home plus additional bungalow studio & bath. Summer sunsets & morning walks. Join the Vineyard Club: lake, tennis court, sailing, clubhouse", Passive Solar ,0,1,0,0
733 ROBLE ST Watsonville," 95076	","$389,000 ","$325,000 ", 09/04/09,1435,2178,4,3,2003," Caulked/Sealed, Ceiling Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), Wall Insulation, Weather Stripping, Window(s) Dual Pane		"," Energy-efficient neighborhood, green home. Efficient & $aving features: solar panels to generate electricity & reduce PG&E bills, tankless H20 heater saves $$, Nice Patio w/paver stones. Down Payment of as little as 3-10% needed. 1st-time buyers only! Affordable Housing. We can sell it, contact Marion Lyng & Jennifer Watson to sell your home today. (831)254-8654", Solar Heating ,1,0,0,0
2537 North Village Dr Santa Rosa," 95403	","$506,500 ","$399,900 ", 11/23/09,1730,2650,3,3,2007," Caulked/Sealed, Ceiling Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Last one. This is a showcase home with $60k of upgrades. Granite, stainless, 2-zone air-cond,designer interor paint, patio, fully landscaped. Solar roof panels(reduce electric bills by 50-75%,)and reduce climate change. 11 acres of private open space, trails and future membership in the private Bridge Trail North Village Club swim, fitness and activity center. No HOA. Save energy, save the planet and show an affordable, energy producing home", GreenModified ,0,0,0,1
1148 Bohemian Ln Occidental," 95465	","$1,795,000 ","$1,795,000 ", 09/24/09,1620,27399,2,2,1996," Caulked/Sealed, Ceiling Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), Passive Solar, Wall Insulation, Window(s) Low "," Gated jewel of a property on 6+acres,2+/-planted in premium pinot noir grapes.Stunning rammed earth contemporary wine country home with incredible attention to detail.Pool,pool/guest suite,expansive terrace ideal for entertaining.Spectacular gardens,olive trees, lavender field,hot tub,large barn,3 car garage.About an hour and twenty minutes north of San Francisco,three minutes from the quaint town of Occidental and twenty minutes form Bodega Bay", Passive Solar ,0,1,0,0
1017 Crane Ave St. Helena," 94574	","$795,000 ","$795,000 ", 05/27/09,1200,11761,2,2,NA," Caulked/Sealed, Ceiling Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), Passive Solar, Skylight(s), Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Charming contemporay cottage on the Westside of St. Helena, a mix of old and new- the home of an artist whether of spirit or inclination. An L -shaped interior separates public space from the bedrooms. Stylish kitchen and baths. French doors overlook the garden in Master bedroom and dining room. The quarter acre lot has an abundant garden with mature trees providing a variety of spots for al fresco dining. A few short blocks to downtown", Passive Solar ,0,1,0,0
139 HAINLINE RD Seacliff," 95003	","$655,000 ","$635,000 ", 01/31/07,880,1786,2,1,NA," Caulked/Sealed, Ceiling Insulation, Insulation Per Owner, Low-Flow Shower(s), Low-Flow Toilet(s), Weather Stripping, Window(s) Dual Pane		"," THIS HOME QUALIFIES FOR BELOW MARKET INTEREST RATES! SAVE UP TO 60K OVER THE LIFE OF YOUR LOAN W/SELLERS INCENTIVE PKG! 3 blocks to ocean, sand, & surf. Walk to beach or sit and listen to the waves crash from your deck", Solar Heating ,1,0,0,0
1411 Noe San Francisco," 94131-1926	","$1,995,000 ","$2,020,000 ", 03/18/05,3400, N/A,4,5,2005," Caulked/Sealed, Ceiling Insulation, Insulated Hot Wtr Ht, Low-Flow Shower(s), Low-Flow Toilet(s), Wall Insulation, Weather Stripping		"," This stunning Victorian style, 4 level view home is brand new construction w/great attention to detail. Fabulous family home w/4 Bedrooms and 4.5 Baths. Gourmet Eat-in Kitchen w/6 burner Wolf range & 36'' Sub-Zero refrigerator. 1000 sq. ft family room/den with built-in wet bar and wine closet. Solar power, radiant heat, decks, garage and garden. Stunning Panoramic Downtown SF City Views from 3 floors. Don't miss it !", Solar Heating ,1,0,0,0
25 ROCKVIEW DR Santa Cruz," 95062	","$1,385,000 ","$1,260,000 ", 07/27/07,1298,2178,2,2,NA," Caulked/Sealed, Ceiling Insulation, Insulated Hot Wtr Ht, Insulation Per Owner, Low-Flow Shower(s), Low-Flow Toilet(s), Wall Insulation, Weather Stripping"," OCEAN living at its best! AWESOME ocean views SOLAR ELEC. HARDWD,SLATE,GRANITE ON Pleasure POINT! CUSTOM built just 8 years ago, your new beach home awaits", Solar Heating ,1,0,0,0
515 Hopkins Ave Sonoma," 95476	","$699,000 ","$550,000 ", 02/17/10,2300,9800,3,2,2009," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Passive Solar, Solar Domestic Water, Solar Heating, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," One of two brand new single story GREEN HOMES on large corner lots! Homes include, stainless steel appliances, 3-car garage, solar system, tankless hot water heater, & many other energy-saving features", Passive Solar ,1,1,0,0
535 Baxter Ave Sonoma," 95476	","$699,000 ","$550,000 ", 01/28/10,2320,9500,3,2,2009," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Passive Solar, Solar Domestic Water, Solar Heating, Wall Insulation, Weather Stripping, Window(s) Dual Pane"," One of two brand new single story GREEN HOMES on large corner lots! Homes include, stainless steel appliances, 3-car garage, solar system, tankless hot water heater, & many other energy-saving features", GreenModified ,1,1,0,1
36552 Sculpture Point Dr The Sea Ranch," 95497	","$1,795,000 ","$1,300,000 ", 02/03/10,2900,14810,3,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Passive Solar, Skylight(s), Wall Insulation, Weather Stripping, Window(s) Dual Pane		"," Short Sale! Fabulous reconstructed oceanfront home. 180 degree view of ocean from everywhere. Travartine type tile,lush carpet,huge windows. Top materials with granite kitchen and baths. Huge master suite plus three large bedrooms. Lower level expansive media and game room segues to hot tub deck. Property is offered as a possible fractional buy in of up to 4 owners as well as a single family. New reduced price is well below market value", Passive Solar ,0,1,0,0
21188 Pelican Loop #550 Bodega Bay," 94923	","$1,465,000 ","$945,000 ", 03/06/09,2825,8640,3,4,1987," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Passive Solar, Skylight(s), Wall Insulation, Weather Stripping, Window(s) Dual Pane"," Custom home thoughtfully designed and built for current owners. Excellent white water and Tomales Bay views plus easy access to beach. Excellent floor plan with great room, soaring ceilings, lots of light, and passive solar from S.E. exposure. The home has been meticulously maintained", Passive Solar ,0,1,0,0
3862 Joslin Ln Vacaville," 95688	","$649,000 ","$605,000 ", 03/10/10,2954,21780,4,3,1983," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Toilet(s), Passive Solar, Solar Heating, Wall Insulation, Whole House Fan, Window(s) Dual Pane"," Let the Sun Shine in! Architect Designed, Environment Friendly Passive Solar Home at the end of a private drive in the desirable Joslin Lane/Steiger Hills area. 5 private acres with views as far as the Sierra's. Energy efficient 3,000sf home, 3-4 bedrooms, 3 full baths, bonus room, wine cellar, 2 woodstoves, private master suite with sitting room, Remodeled kitchen, features Jennaire cooktop, Stainless Steel Appliances & Quartz countertops", Passive Solar ,1,1,0,0
37181 Old Stage Rd Gualala," 95445	","$895,000 ","$774,000 ", 07/17/09,2750,15681,4,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Toilet(s), Passive Solar, Skylight(s), Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Country Estate With a European Flair...High End Designer Finishes Panoramic Canyon Views... 3.6 Gualala ridge acres. Brand new gorgeous 4 bedroom + office, 3 bath, gourmet kitchen, dbl car garage, landscaping, Radiant Heat, Brazilian Cherry & Copper Quartzite Slate Flooring. Could build a second unit on property", Passive Solar ,0,1,0,0
76 Chamberlain Ave Novato," 94947	","$2,495,000 ","$2,100,000 ", 08/13/09,4273,18643,4,4,NA," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Toilet(s), Partial Insulation, Wall Insulation, Weather Stripping, Window(s) Dual Pane		"," Luxurious English Tudor Estate privately hidden in the hills of Indian Valley. Over 4 acres and panoramic views of Mt. Diablo and our beautiful Bay. Attached granny unit w/separate entrance. Stunning landscaping w/Olympic size pool. Living room boasts a cathedral style ceiling w/open beams, beautiful wood burning fireplace and attached patio. 2 car attached garage w/automatic door. 2nd Unit possible", Solar Heating ,1,0,0,0
240 Vallejo Ave Pt. Reyes Station," 94956	","$675,000 ","$629,000 ", 10/14/09,864,31929,1,2,2007," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," NEW PRICE! Contemporary, upscale sanctuary. Artist's dream, nature-lovers' retreat, investor's high-end vacation rental. Designed by architect, Jon Fernandez (CowGirl Creamery) in 2007. On nearly 3/4 acre. Green reigns: recycled Levi's insulation, sustainably-farmed red oak floors, EPA cert. wood stove, energy efficient appliances. Forest & stream views. Hike, kayak, drive 2 min. to village of Pt. Reyes. An hour from SF, East Bay, & Wine Country", GreenModified ,0,0,0,1
1124 Kenilworth Ave Kenwood," 95452	","$3,995,000 ","$3,800,000 ", 05/13/09,3639,26745,3,9,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), Solar Domestic Water, Wall Insulation, Weather Stripping, Window(s) Dual Pane		"," Extraordinary value and exquisite workmanship make Montevigna incomparable. Set atop a knoll with mountain and vineyard views, this new Provencal-inspired estate seamlessly incorporates antiquities such as French stone fireplaces, floor tiles, marble bathroom fixtures, wrought iron railings and roof tiles. Green as well as grand, high-tech as well as high touch, this is a wine country Eden that offers you luxury and peace of mind", Solar Heating ,1,0,0,0
2409 Van Patter Dr Santa Rosa," 95403	","$424,900 ","$374,500 ", 06/19/09,1730,4000,3,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Brand new homes--Bridge Trail, the ONLY new home community that includes solar roof panels(reducing your electric bills by 50-75%) 11 acres of private open space, trails and private membership in the future, private North Village Club swim, fitness and activity center! You too can reduce impacts on climate change and buy an affordable, energy conscientious home. visit: www.thenorthvillage.co", GreenModified ,0,0,0,1
2423 Van Patter Dr Santa Rosa," 95403	","$499,900 ","$399,900 ", 04/24/09,2169,2808,3,3,2007," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Welcome to Bridge Trail, the ONLY new home community that includes solar roof panels(reducing your electric bills by 50-75%), 11 acres of private open space, trails and a private membership in the new North Village Club swim and activity center! Finally you too can do something for our environment and afford an energy saving home. The natural habitat that embraces your neighborhood community is preserved. There's Nothing Like It. Period", GreenModified ,0,0,0,1
2439 Van Patter Dr Santa Rosa," 95403	","$379,900 ","$339,900 ", 03/24/09,1488,2650,3,3,2007," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Welcome to Bridge Trail, the ONLY new home community that includes solar roof panels(reducing your electric bills by 50-75%) 11 acres of private open space, trails and private membership in the new North Village Club swim and activity center! Buying one of these homes drastically reduces your utility bill and you contribute towards reducing CO2 emissions that affect climate change. There's Nothing Like It. Period", GreenModified ,0,0,0,1
2442 Van Patter Dr Santa Rosa," 95403	","$464,900 ","$359,900 ", 06/03/09,1770,2650,4,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Brand new homes--Bridge Trail, the ONLY new home community that includes solar roof panels(reducing your electric bills by 50-75%) 11 acres of private open space, trails and private membership in the future, private North Village Club swim, fitness and activity center! You too can reduce impacts on climate change and buy an affordable, energy conscience home. visit: www.thenorthvillage.co", GreenModified ,0,0,0,1
2455 Van Patter Dr Santa Rosa," 95403	","$419,900 ","$369,900 ", 08/05/09,1730,2650,3,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Brand new home--Bridge Trail, the ONLY new home community that includes solar roof panels(reducing electric bills by 50-75% and CO emissions), adjacent to 11 acres of private open space, trails and available membership in the future, private North Village Club swim, fitness and activity center! You too can reduce impacts on climate change and buy a quality, affordable, energy PRODUCING, energy efficient home", GreenModified ,0,0,0,1
2462 Van Patter Dr Santa Rosa," 95403	","$464,900 ","$370,983 ", 07/24/09,1770,2650,4,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Brand new homes-Bridge Trail, by The Hugh Futrell Corporation. Buyers reduce their electricity bills by 50-75%, access 11 acres of private open space, and trails,are eligible for private membership in the future, private North Village Club swim, fitness and activity center! They can reduce impacts on climate change and buy a quality,affordable, energy efficient home", GreenModified ,0,0,0,1
2463 Van Patter Dr Santa Rosa," 95403	","$339,900 ","$339,900 ", 09/30/09,1488,2650,3,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Last one, great value, quality and location. Brand new homes--Bridge Trail by the Hugh Futrell Corp.reduces electricity bills by 50-75%, with 11 acres of private open space, trails and private membership in the future, private North Village Club swim, fitness and activity center! Your buyer can reduce impacts on climate change and buy an affordable, energy efficient home", GreenModified ,0,0,0,1
2490 Van Patter Dr Santa Rosa," 95403	","$349,900 ","$345,832 ", 08/07/09,1488,2650,3,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Brand new homes-Bridge Trail, by The Hugh Futrell Corporation. Buyers reduce their electricity bills by 50-75%, access 11 acres of private open space, trails and are eligible for private membership in the future, private North Village Club swim, fitness and activity center! They can reduce their impacts on climate change, buy a quality, affordable, energy efficient home", GreenModified ,0,0,0,1
2513 North Village Dr Santa Rosa," 95403	","$424,900 ","$396,590 ", 06/01/09,1730,2650,3,3,2008," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Brand new homes--Bridge Trail, the ONLY new home community that includes solar roof panels(reducing your electric bills by 50-75%) 11 acres of private open space, trails and private membership in the future, private North Village Club swim, fitness and activity center! You too can reduce impacts on climate change and buy an affordable, energy conscientious home. visit: www.thenorthvillage.co", GreenModified ,0,0,0,1
2581 North Village Dr Santa Rosa," 95403	","$379,900 ","$349,900 ", 07/16/09,1488,2650,3,3,2007," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), PV-On Grid, Wall Insulation, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Brand new homes-Bridge Trail, by The Hugh Futrell Corporation. Buyers reduce their electricity bills by 50-75%, access 11 acres of private open space, trails and are eligible for private membership in the future, private North Village Club swim, fitness and activity center! They can reduce impacts on climate change and buy an affordable, energy efficient home. visit: www.thenorthvillage.com and http://www.vflyer.com/home/flyer/mls/home/210314", GreenModified ,0,0,0,1
127 Sienna Ct Healdsburg," 95448	","$1,495,000 ","$1,170,000 ", 11/02/09,3202,33106,3,3,2006," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), Passive Solar, Skylight(s), Wall Insulation, Whole House Fan, Window(s) Dual Pane, Window(s) Low ", $300k PRICE REDUCTION!! Stunning architect-designed custom home priced far below replacement costs. The 3/4 acre site is on a private road shared by four other parcels. The house itself is well separated from neighbors thanks to location of building sites and habitat preserve abutting the site on two sides. Please see the attached documents for a features list of this extraordinary property, Passive Solar ,0,1,0,0
3041 Laguna St San Francisco," 94123-3512	","$3,750,000 "," $3,750,000 (Z)", 05/14/09,3520, N/A,5,5,1900," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Low-Flow Shower(s), Low-Flow Toilet(s), Partial Insulation, Wall Insulation, Weather Stripping, Window(s) Dual Pane"," Extraordinary Cow Hollow Home newly built in 2009 This extraordinary new home features 5 bedrooms, 4.5 baths (including au pair suite) and 5 decks Environmentally sensitive custom designer features o Colored concrete recycled glass countertops o Treefrogª’ veneer kitchen cabinetry o Radiant Heat o Solar Panels o Plug-in for electric car Two car garage Landscaped mult-level garden with western red cedar and Brazilian ironwood Solid oak wood floors & solid walnu", Solar Heating ,1,0,0,0
5327 Hall Rd Santa Rosa," 95401	","$895,000 ","$875,000 ", 07/09/10,1926,11194,2,3,2006," Caulked/Sealed, Ceiling Insulation, Floor Insulation, Heat Pump-Air, Heat Pump-Geotherm, Low-Flow Shower(s), Low-Flow Toilet(s), Passive Solar, Weather Stripping, Window(s) Dual Pane, Window(s) Low "," Modern,custom built,energy efficient home utilizing passive solar, geothermal ground source for heating and cooling and more. West Sonoma County home set on exquisite usable 2 1/2 acres. Pasture,vineyard and mountain views. Engineered septic perc'd for 4 bedrooms. Zoned for Granny unit and animals. Concrete radiant floors. 10'ceilings,floor to ceiling windows in most rooms. Highest quality craftsmanship and materials and appliances", Passive Solar ,0,1,0,0
1499 Lucas Valley Rd San Rafael," 94903	","$7,250,000 ","$7,250,000 ", 01/10/08,6148,38681,4,6,1997," Caulked/Sealed, Ceiling Fan(s), Window(s) Dual Pane, Skylight(s), Low-Flow Shower(s), Low-Flow Toilet(s), Solar Domestic Water, Wall Insulation, Water Heater Blanket, Weather Stripping, Whole House Fan"," One of a kind Equestrian Estate approx. 5 min. to Hwy 101, Double-gated, private with custom 6 paddock stall barn, tack room and office, Competition arena with beautiful footing with 3 paddocks, 1 Bdrm caretaker's cottage, Custom single level home built in 1998 (?), studio apartment over garage, Huge swimming pool with swim under grotto and 5 waterfalls plus spa. Must see to appreciate!!!! This home is attracting attention!!", Solar Heating ,1,0,0,0
3570 Tassajara Ct Fairfield," 94533	","$759,000 ","$759,000 ", 08/01/06,2449,13809,4,3,1995," Caulked/Sealed, Ceiling Fan(s), Window(s) Dual Pane, Other		"," Paradise in the Valley!& without high energy bills.In addition to being an energy efficient home,the $61,000+ solar system gives them $6 electric bills. All on a lg flat lot with a peaceful, placid pool. If however, you prefer a shimmering pool, turn on the 3 waterfalls. At dusk, turn on the beautiful lights to create the mood. All this with breath taking views of Paradise Valley on a court location & w room on the side for potential R/V parking", Solar Heating ,1,0,0,0
1930 E Hilltop Dr Willits," 95490	","$399,000 ","$389,000 ", 06/15/10,1148,98010,3,1,1954," Caulked/Sealed, Ceiling Fan(s), Partial Insulation, Passive Solar, Skylight(s), Wall Insulation, Weather Stripping, Window(s) Dual Pane		"," Established Homestead with Large gardens, fruits trees,landscaping & flowers. Cabin,Guest quarters,carport,workshops,chicken coop and misc outbuildings. OWNER FINANCING POSSIBLE!!!!! also includes ap 104-062-17-0", Passive Solar ,0,1,0,0
2197 Vineyard Rd Novato," 94947	","$1,049,000 ","$845,000 ", 05/29/09,2538,16161,4,3,1955," Caulked/Sealed, Ceiling Fan(s), Low-Flow Toilet(s), Skylight(s), Solar Heating, Window(s) Dual Pane, Window(s) Low "," Coveted Vineyard Area! Updated single story home on 1/3+ level creekside acre. Pool, gazebo, deck, patio. Open Floor Plan. Living/Dining with beautiful fireplace. Remodeled kitchen w/granite slab counter,center island,SS appliances, Breakfast area. New master suite w/Vaulted ceilling looking into gorgeous backyard- New modern master bath with limestone surround,separate shower andsoaking tub. Entertain with comfort and style", Passive Solar ,1,1,0,0
86 Prospect Ave Sausalito," 94965	","$2,285,000 ","$2,000,000 ", 06/13/06,2707,5184,3,5,1975," Caulked/Sealed, Ceiling Fan(s), Low-Flow Toilet(s), Partial Insulation, Solar Domestic Water, Weather Stripping"," San Francisco and the Bay are front and center from almost every room. This well built and well maintained home is one of the few on this street with a current market value under $2.5 mil. Highlights include a Home Theater (4th bedroom), Guest Suite with seperate entrance (+-350 sf(unverified, not in tax records), many view decks, surround sound and custom lighting throughout...entertaining is fabulous here", Solar Heating ,1,0,0,0
15 SHOREBREEZE CT East Palo Alto," 94303	","$899,000 ","$817,000 ", 12/14/07,2350,5333,4,3,2003," Caulked/Sealed, Ceiling Fan(s), Low-Flow Shower(s), Low-Flow Toilet(s), Window(s) Dual Pane"," Reduced!!! $54,000 Wonderful 4 year old Clarum built Enviro-Home 4 Bedroom 2 and 1/2 Bath located on a pvt cul-de-sac. Beaut Bamboo floors thruout lower level. Living Room/Dining Room comb. Gourmet Kitchen opens to Family Room. Large Master up with sitting area, three more Bedrooms and a full Bath. Home is considered a Green-Home using Solar Power et", Solar Heating ,1,0,0,0
732 Placer Cir Vacaville," 95687	","$479,000 ","$445,000 ", 09/23/09,3714,10803,5,5,2008," Caulked/Sealed, Ceiling Fan(s), Low-Flow Shower(s), Low-Flow Toilet(s), Solar Domestic Water, Solar Heating, Water Heater Blanket, Weather Stripping, Window(s) Dual Pane"," Beautiful Solar Meritage Home, still under Warranty. Kitchen offers S/S appliances,Granite counter tops,cherry cabinetry. Master bedroom downstairs, den/office, w/Bonus room. Side yard w/possible RV parking, kennel. Covered patio w/fan and lights, stamped concrete patio and walk way. Energy Efficient home,tankless water heater and more", Passive Solar ,1,1,0,0
96 VENTURA ST Half Moon Bay," 94019	","$835,000 ","$835,000 ", 07/14/06,1520,4600,3,2,NA," Caulked/Sealed, Ceiling Fan(s), Insulation Unknown, Low-Flow Shower(s), Low-Flow Toilet(s), Skylight(s)		"," A-frame style home through the warm and inviting solarium. Coveted west side Miramar location, Vaulted beam ceiling gives a feeling of spaciousness tour photos www.coastsiderealtors.com/LE_VE/index.htm", Solar Heating ,1,0,0,0
3746 Spring Creek Dr Santa Rosa," 95405	","$625,950 ","$540,000 ", 08/18/08,1890,6316,4,2,1956," Caulked/Sealed, Ceiling Fan(s), Ceiling Insulation, Window(s) Low "," Beautifully remodeled. Green features! Walk to Howarth Park. Euro standard kitchen cabinetry, stainless & tile backsplash, stainless appliances.1450 watt,10 panel solar system. E-Star light fixtures, appliances & dual-pane windows. Dual flush toilets. Low odor paint,non-toxic finishes. Refinished oak floors,cork,bamboo & Marmoleum flooring!Ceiling fans.Tankless water heater, radiant & forced air heat, new landscaping and SO MUCH MORE", Solar Heating ,1,0,0,0
791 Tilton Rd Sebastopol," 95472-9472	","$1,100,000 ","$885,000 ", 09/10/05,1400,49005,2,2,1981," Caulked/Sealed, Ceiling Fan(s), Ceiling Insulation, Window(s) Dual Pane, Skylight(s), Low-Flow Toilet(s), Solar Domestic Water, Water Heater Blanket"," Unique, energy efficient home with spectacular panoramic views on hill-top location. 11 1/4 acres has been kept simple for private, secluded appeal of the natural beauty. Ideal for vineyard, horses or artistans. This 2 Bed/2 bath home has lots of lighting w/ Idaho Flagstone floors, attached 12'x13'glass Solarium, wood stove, built-in vacuum, custom cabinets in kitchen, 5 sheds for storage with 220 elect. access in work shed. Ready to show", Solar Heating ,1,0,0,0
1633 Lauren Dr Petaluma," 94954-3645	","$624,900 ","$608,999 ", 05/24/05,1922,6000,4,2,1968," Caulked/Sealed, Ceiling Fan(s), Ceiling Insulation, Window(s) Dual Pane, Skylight(s), Low-Flow Toilet(s), Solar Domestic Water"," Don't miss this lovely 4 bedroom, 2 bath family home in East Petaluma. Large kitchen with family room, formal dining and living rooms. Tranquil master suite. Enjoy the covered patio and beautiful backyard. Just reduced, this one will not last!", Solar Heating ,1,0,0,0
1410 Taubold Ct Fort Bragg," 95437	","$499,900 ","$449,000 ", 04/02/07,2080,6098,3,3,1978," Caulked/Sealed, Ceiling Fan(s), Ceiling Insulation, Window(s) Dual Pane, Skylight(s), Floor Insulation, Other, Solar Domestic Water, Wall Insulation, Water Heater Blanket, Weather Stripping",  , Solar Heating ,1,0,0,0
4522 Bennett Valley Rd Santa Rosa," 95404	","$2,400,000 ","$2,150,000 ", 01/10/07,4130,43560,3,4,1989," Caulked/Sealed, Ceiling Fan(s), Ceiling Insulation, Window(s) Dual Pane, Skylight(s), Floor Insulation, Other"," Panoramic views east & west that include both sunrise and sunsets from custom 3 Bdrm + large den, 2/2 Bath home. Vistas of Annadel state park, Calistoga Mnt, Sugarloaf & citylights. Walk into 1,100 acre park. Outdoor amenities, pool, poolhouse, garden, 10 acres of stunning Sonoma county beauty! Custom interior w/cathedral ceilings, frml drm, den & breakfast room. Private master suite w/hot tub. Drop in and see the views at our Virtual Tour", Solar Heating ,1,0,0,0
14930 Kramer Ln Philo," 95466	","$1,250,000 ","$1,200,000 ", 08/15/06,3070,34848,3,2,1996," Caulked/Sealed, Ceiling Fan(s), Ceiling Insulation, Window(s) Dual Pane, Skylight(s), Floor Insulation, Low-Flow Shower(s), Solar Domestic Water, Wall Insulation, Weather Stripping		"," This beautiful contemporary has amazing views of the Anderson Valley's Pinot Noir vineyards + miles of mountains. Truly earth-friendly, the state-of-the-art solar system lets you consume without guilt! 1920+- sf on main level + 1150+- sf unfinished ground level plumbed for a bath. House is surrounded by gorgeous plantings that attract birds & wildlife. Creekside cottage is a world away for cool, lazy summer afternoons. Zoned for 2 homes", Solar Heating ,1,0,0,0
